number_of_dice,die_type,kth,target_value,probability
3,10,1,1,0.001
3,10,1,2,0.007
3,10,1,3,0.019
3,10,1,4,0.037
3,10,1,5,0.061
3,10,1,6,0.091
3,10,1,7,0.127
3,10,1,8,0.169
3,10,1,9,0.217
3,10,1,10,0.271
4,10,1,1,0.0001
4,10,1,2,0.0015
4,10,1,3,0.0065
4,10,1,4,0.0175
4,10,1,5,0.0369
4,10,1,6,0.0671
4,10,1,7,0.1105
4,10,1,8,0.1695
4,10,1,9,0.2465
4,10,1,10,0.3439
5,10,1,1,1e-05
5,10,1,2,0.00031
5,10,1,3,0.00211
5,10,1,4,0.00781
5,10,1,5,0.02101
5,10,1,6,0.04651
5,10,1,7,0.09031
5,10,1,8,0.15961
5,10,1,9,0.26281
5,10,1,10,0.40951
3,12,1,1,0.0005787037037037037
3,12,1,2,0.004050925925925926
3,12,1,3,0.01099537037037037
3,12,1,4,0.02141203703703704
3,12,1,5,0.03530092592592592
3,12,1,6,0.052662037037037035
3,12,1,7,0.07349537037037036
3,12,1,8,0.09780092592592593
3,12,1,9,0.1255787037037037
3,12,1,10,0.1568287037037037
3,12,1,11,0.19155092592592593
3,12,1,12,0.22974537037037038
4,12,1,1,4.8225308641975306e-05
4,12,1,2,0.0007233796296296296
4,12,1,3,0.003134645061728395
4,12,1,4,0.008439429012345678
4,12,1,5,0.017795138888888888
4,12,1,6,0.032359182098765434
4,12,1,7,0.05328896604938271
4,12,1,8,0.08174189814814815
4,12,1,9,0.11887538580246913
4,12,1,10,0.1658468364197531
4,12,1,11,0.2238136574074074
4,12,1,12,0.2939332561728395
5,12,1,1,4.018775720164609e-06
5,12,1,2,0.00012458204732510288
5,12,1,3,0.0008479616769547326
5,12,1,4,0.0031386638374485596
5,12,1,5,0.008443447788065843
5,12,1,6,0.018691325874485597
5,12,1,7,0.03629356352880658
5,12,1,8,0.06414367926954732
5,12,1,9,0.1056174447016461
5,12,1,10,0.1645728845164609
5,12,1,11,0.24535027649176955
5,12,1,12,0.35277215149176955
3,20,1,1,0.000125
3,20,1,2,0.000875
3,20,1,3,0.002375
3,20,1,4,0.004625
3,20,1,5,0.007625
3,20,1,6,0.011375
3,20,1,7,0.015875
3,20,1,8,0.021125
3,20,1,9,0.027125
3,20,1,10,0.033875
3,20,1,11,0.041375
3,20,1,12,0.049625
3,20,1,13,0.058625
3,20,1,14,0.068375
3,20,1,15,0.078875
3,20,1,16,0.090125
3,20,1,17,0.102125
3,20,1,18,0.114875
3,20,1,19,0.128375
3,20,1,20,0.142625
4,20,1,1,6.25e-06
4,20,1,2,9.375e-05
4,20,1,3,0.00040625
4,20,1,4,0.00109375
4,20,1,5,0.00230625
4,20,1,6,0.00419375
4,20,1,7,0.00690625
4,20,1,8,0.01059375
4,20,1,9,0.01540625
4,20,1,10,0.02149375
4,20,1,11,0.02900625
4,20,1,12,0.03809375
4,20,1,13,0.04890625
4,20,1,14,0.06159375
4,20,1,15,0.07630625
4,20,1,16,0.09319375
4,20,1,17,0.11240625
4,20,1,18,0.13409375
4,20,1,19,0.15840625
4,20,1,20,0.18549375
5,20,1,1,3.125e-07
5,20,1,2,9.6875e-06
5,20,1,3,6.59375e-05
5,20,1,4,0.0002440625
5,20,1,5,0.0006565625
5,20,1,6,0.0014534375
5,20,1,7,0.0028221875
5,20,1,8,0.0049878125
5,20,1,9,0.0082128125
5,20,1,10,0.0127971875
5,20,1,11,0.0190784375
5,20,1,12,0.0274315625
5,20,1,13,0.0382690625
5,20,1,14,0.0520409375
5,20,1,15,0.0692346875
5,20,1,16,0.0903753125
5,20,1,17,0.1160253125
5,20,1,18,0.1467846875
5,20,1,19,0.1832909375
5,20,1,20,0.2262190625
3,10,2,1,0.028
3,10,2,2,0.076
3,10,2,3,0.112
3,10,2,4,0.136
3,10,2,5,0.148
3,10,2,6,0.148
3,10,2,7,0.136
3,10,2,8,0.112
3,10,2,9,0.076
3,10,2,10,0.028
4,10,2,1,0.0037
4,10,2,2,0.0235
4,10,2,3,0.0565
4,10,2,4,0.0955
4,10,2,5,0.1333
4,10,2,6,0.1627
4,10,2,7,0.1765
4,10,2,8,0.1675
4,10,2,9,0.1285
4,10,2,10,0.0523
5,10,2,1,0.00046
5,10,2,2,0.00626
5,10,2,3,0.02406
5,10,2,4,0.05626
5,10,2,5,0.10046
5,10,2,6,0.14946
5,10,2,7,0.19126
5,10,2,8,0.20906
5,10,2,9,0.18126
5,10,2,10,0.08146
3,12,2,1,0.019675925925925927
3,12,2,2,0.05439814814814815
3,12,2,3,0.08217592592592593
3,12,2,4,0.10300925925925926
3,12,2,5,0.11689814814814815
3,12,2,6,0.12384259259259259
3,12,2,7,0.12384259259259259
3,12,2,8,0.11689814814814815
3,12,2,9,0.10300925925925926
3,12,2,10,0.08217592592592593
3,12,2,11,0.05439814814814815
3,12,2,12,0.019675925925925927
4,12,2,1,0.002170138888888889
4,12,2,2,0.014033564814814815
4,12,2,3,0.034577546296296294
4,12,2,4,0.06032986111111111
4,12,2,5,0.08781828703703703
4,12,2,6,0.11357060185185185
4,12,2,7,0.13411458333333334
4,12,2,8,0.14597800925925927
4,12,2,9,0.1456886574074074
4,12,2,10,0.12977430555555555
4,12,2,11,0.09476273148148148
4,12,2,12,0.037181712962962965
5,12,2,1,0.0002250514403292181
5,12,2,2,0.0031185699588477367
5,12,2,3,0.012281378600823045
5,12,2,4,0.029642489711934155
5,12,2,5,0.05520190329218107
